LOCO_TYPE,LOCO_NUMBER,YEAR,Availability_Days,Distance_Travelled,Distance_per_day,Total_Failures,Reliability,Failure_Rate,Age_of_Locomotive,Usage_Intensity,Maintenance_Frequency,Fuel_Efficiency,Operating_Hours,Fleet_Type,Efficiency_Score,Maintenance_Score,Risk_Score,Reliability_Category,Age_Category
1,1016,2017,221,51738,234.11,5,61.79,0.0226,10,1.170543,1.71,1.51,5046.52,NRZ,10.25,5.62,0.2645,Medium,Young
1,1020,2018,275,30119,109.52,4,63.8,0.0145,1,0.547618,1.06,1.92,5390.51,NRZ,5.59,31.9,0.0079,Medium,New
1,1016,2017,278,37751,135.79,6,69.53,0.0216,2,0.678975,0.97,2.81,5663.91,NRZ,6.67,23.18,0.0293,Medium,New
1,2104,2024,121,28364,234.41,5,52.61,0.0413,32,1.172066,1.39,2.27,2610.61,NRZ,10.86,1.59,1.549,Low,Old
2,36383,2021,251,27943,111.33,9,55.74,0.0359,14,0.556633,0.9,2.78,4686.0,Hired,5.96,3.72,0.2798,Low,Mature
2,34863,2024,115,28649,249.12,8,40.57,0.0696,34,1.245609,1.87,3.24,2275.93,Hired,12.59,1.16,2.9476,Low,Old
2,35475,2020,118,20945,177.5,8,55.82,0.0678,29,0.8875,1.97,2.57,2213.04,Hired,9.46,1.86,1.745,Low,Old
1,1030,2018,150,25158,167.72,4,58.57,0.0267,27,0.8386,0.85,2.31,3133.22,NRZ,8.03,2.09,0.6045,Low,Old
2,34456,2019,168,35022,208.46,8,51.2,0.0476,17,1.042321,1.54,2.96,3813.63,Hired,9.18,2.84,0.8434,Low,Mature
1,1021,2024,185,42695,230.78,11,42.26,0.0595,24,1.153919,0.65,2.58,3891.53,NRZ,10.97,1.69,1.6478,Low,Old
1,1024,2018,276,42259,153.11,4,62.55,0.0145,1,0.765562,1.98,3.11,5843.93,NRZ,7.23,31.28,0.0111,Medium,New
1,1023,2019,297,38383,129.24,9,53.72,0.0303,9,0.646178,0.67,3.39,6577.4,NRZ,5.84,5.37,0.1762,Low,Young
1,2106,2017,290,59331,204.59,2,67.79,0.0069,1,1.022948,1.9,3.44,5289.42,NRZ,11.22,33.9,0.0071,Medium,New
2,35076,2020,218,64388,295.36,6,65.91,0.0275,9,1.476789,0.73,3.36,5054.9,Hired,12.74,6.59,0.3655,Medium,Young
1,1028,2017,188,36682,195.12,11,49.28,0.0585,22,0.975585,1.72,2.03,4272.16,NRZ,8.59,2.14,1.2556,Low,Old
1,1026,2017,300,49000,163.33,3,74.91,0.01,1,0.816667,1.81,1.95,6588.06,NRZ,7.44,37.46,0.0082,Medium,New
2,35560,2021,242,57959,239.5,5,71.59,0.0207,4,1.1975,1.77,2.16,4396.08,Hired,13.18,14.32,0.0992,Medium,New
2,34947,2021,106,21623,203.99,5,57.12,0.0472,30,1.019953,1.27,2.27,2274.71,Hired,9.51,1.84,1.4443,Low,Old
2,34397,2023,106,29768,280.83,11,46.24,0.1038,33,1.404151,0.8,2.36,2511.48,Hired,11.85,1.36,4.8098,Low,Old
2,36768,2022,271,60830,224.46,7,58.67,0.0258,11,1.122325,1.1,2.09,5084.97,Hired,11.96,4.89,0.3185,Low,Mature
2,36939,2023,256,35464,138.53,6,68.67,0.0234,12,0.692656,0.96,1.92,5814.93,Hired,6.1,5.28,0.1945,Medium,Mature
1,1031,2023,292,43740,149.79,5,57.38,0.0171,5,0.748973,1.48,1.51,6571.69,NRZ,6.66,9.56,0.064,Low,New
1,1029,2020,171,40320,235.79,10,50.85,0.0585,25,1.178947,0.68,1.77,3554.72,NRZ,11.34,1.96,1.7242,Low,Old
2,36059,2021,243,61169,251.72,6,67.03,0.0247,7,1.258621,0.91,1.65,4790.59,Hired,12.77,8.38,0.2176,Medium,Young
2,35591,2022,289,32931,113.95,6,70.13,0.0208,4,0.56974,0.6,2.32,6142.89,Hired,5.36,14.03,0.0474,Medium,New
2,34471,2020,277,80445,290.42,8,69.13,0.0289,4,1.452076,1.65,2.26,4995.8,Hired,16.1,13.83,0.1679,Medium,New
2,35439,2023,310,84081,271.23,10,63.0,0.0323,6,1.356145,1.85,2.48,6087.66,Hired,13.81,9.0,0.2628,Medium,Young
2,34334,2023,177,50075,282.91,13,50.89,0.0734,23,1.414548,1.97,2.57,4149.16,Hired,12.07,2.12,2.388,Low,Old
2,35355,2023,173,36916,213.39,5,66.54,0.0289,25,1.066936,0.84,1.64,4107.66,Hired,8.99,2.56,0.7709,Medium,Old
1,1003,2020,142,31964,200.81,8,39.29,0.0444,24,1.004056,0.88,2.24,3072.22,NRZ,10.4,1.57,1.0699,Critical,Old
2,34498,2022,125,27842,222.74,11,44.71,0.088,32,1.11368,1.74,2.91,2576.62,Hired,10.81,1.35,3.1361,Low,Old
1,1019,2024,155,35396,228.36,7,47.39,0.0452,27,1.141806,0.99,2.48,3119.99,NRZ,11.34,1.69,1.3935,Low,Old
2,35610,2021,301,84936,282.18,6,60.32,0.0199,3,1.410897,0.86,2.31,6420.65,Hired,13.23,15.08,0.0842,Medium,New
1,2102,2024,205,21607,105.4,9,43.12,0.0439,20,0.527,1.37,2.45,4343.03,NRZ,4.98,2.05,0.4627,Low,Mature
2,36470,2022,192,26659,138.85,4,55.35,0.0208,21,0.694245,0.68,2.57,4334.04,Hired,6.15,2.52,0.3032,Low,Old
1,1014,2020,265,77276,291.61,7,53.16,0.0264,7,1.458038,0.65,1.89,5131.7,NRZ,15.06,6.64,0.2694,Low,Young
1,1021,2017,282,51956,184.24,6,64.45,0.0213,5,0.921206,0.69,3.24,5906.57,NRZ,8.8,10.74,0.0981,Medium,New
1,2108,2021,209,41684,199.44,6,62.23,0.0287,16,0.997225,0.67,1.63,4378.65,NRZ,9.52,3.66,0.4579,Medium,Mature
1,1015,2021,211,31871,151.05,3,62.17,0.0142,10,0.755237,1.53,2.44,3839.32,NRZ,8.3,5.65,0.1072,Medium,Young
